,,top,mac,L4,L3,L2,L4_tree,L3_tree,L2_tree,mult_2x2,count,out_reg,pipe_reg,in_reg,accum
8x8,BG_L2_L4_00_L3_00_L2_00_DVAFS_0,573.40478,549.83989,210.41015,210.41015,210.41015,0.0,0.0,177.0073,33.40285,0.0,190.56987,0.0,7.00373,165.42102
8x8,BG_L2_L4_00_L3_00_L2_10_DVAFS_0,539.00908,523.31268,270.93622,270.93622,270.93622,0.0,0.0,235.84511,35.09111,0.0,80.30378,0.0,10.14968,177.6194
8x8,BG_L2_L4_00_L3_00_L2_11_DVAFS_0,437.01325,420.97814,208.11481,208.11481,208.11481,-0.0,-0.0,178.22784,29.88697,0.0,53.80366,0.0,12.79872,162.29607
8x8,BG_L2_L4_00_L3_10_L2_00_DVAFS_0,419.13233,403.27027,282.66654,282.66654,209.98829,0.0,72.67826,180.83792,29.15036,0.0,60.12671,0.0,10.31527,66.02381
8x8,BG_L2_L4_00_L3_10_L2_10_DVAFS_0,402.07919,372.72547,303.48064,303.48064,224.10682,-0.0,79.37382,194.81485,29.29197,0.0,24.10967,0.0,24.18772,50.30116
8x8,BG_L2_L4_00_L3_10_L2_11_DVAFS_0,333.67112,305.21288,248.19172,248.19172,217.83148,-0.0,30.36024,187.77483,30.05664,0.0,14.79738,0.0,26.08436,44.59767
8x8,BG_L2_L4_00_L3_11_L2_00_DVAFS_0,296.49739,269.55508,226.91384,226.91384,162.85059,-0.0,64.06326,139.86228,22.98831,0.0,17.78625,0.0,23.57584,28.22146
8x8,BG_L2_L4_00_L3_11_L2_10_DVAFS_0,383.73728,328.59751,309.83747,309.83747,233.64788,0.0,76.18958,203.71366,29.93423,0.0,6.34972,0.0,50.02488,17.52522
8x8,BITFUSION,287.28048,237.27911,225.35234,225.35234,192.98089,-0.0,32.37145,164.97955,28.00134,0.0,4.55658,0.0,45.84685,11.5247
8x8,BG_L2_L4_10_L3_00_L2_00_DVAFS_0,478.93316,462.99625,338.8058,215.82437,215.82437,122.98143,-0.0,186.97818,28.84619,0.0,59.95128,0.0,10.37087,69.8052
8x8,BG_L2_L4_10_L3_00_L2_10_DVAFS_0,500.28807,473.80743,401.97001,274.44691,274.44691,127.52309,0.0,242.81007,31.63684,0.0,23.11017,0.0,23.62277,51.58511
8x8,BG_L2_L4_10_L3_00_L2_11_DVAFS_0,390.29469,361.39251,303.40145,208.21665,208.21665,95.1848,-0.0,179.82307,28.39358,0.0,14.84296,0.0,26.40834,45.64195
8x8,BG_L2_L4_10_L3_10_L2_00_DVAFS_0,336.60073,303.1054,255.35226,215.25417,155.85725,40.09808,59.39692,131.83335,24.0239,0.0,18.61294,0.0,28.7894,33.84613
8x8,BG_L2_L4_10_L3_10_L2_10_DVAFS_0,476.4699,357.05354,335.65975,293.62197,217.35306,42.03778,76.26891,188.02579,29.32726,0.0,6.71257,0.0,103.83302,30.26456
8x8,BG_L2_L4_10_L3_10_L2_11_DVAFS_0,379.6968,271.10028,258.48182,220.75194,191.17152,37.72987,29.58042,163.46779,27.70373,0.0,4.20228,0.0,98.43205,18.58066
8x8,BG_L2_L4_10_L3_11_L2_00_DVAFS_0,347.97116,255.45493,245.59127,234.29053,177.30994,11.30074,56.98059,148.48321,28.82673,0.0,4.95384,0.0,84.12828,13.29778
8x8,BG_L2_L4_10_L3_11_L2_10_DVAFS_0,538.39341,348.50644,342.79845,328.07473,257.33719,14.72371,70.73754,223.38423,33.95297,0.0,1.77583,0.0,171.27112,22.54801
8x8,BG_L2_L4_10_L3_11_L2_11_DVAFS_0,499.45297,273.92731,270.17942,257.9611,225.4149,12.21832,32.5462,192.35824,33.05665,0.0,1.02075,0.0,202.39401,25.85879
8x8,BG_L2_L4_11_L3_00_L2_00_DVAFS_0,339.90307,320.26085,275.07269,161.98862,161.98862,113.08407,0.0,139.57437,22.41424,0.0,17.94726,0.0,16.56917,30.31395
8x8,BG_L2_L4_11_L3_00_L2_10_DVAFS_0,426.43208,383.28508,364.85234,234.4241,234.4241,130.42825,-0.0,203.88756,30.53653,0.0,6.36072,0.0,39.01551,16.2035
8x8,BG_L2_L4_11_L3_00_L2_11_DVAFS_0,379.59382,323.80797,310.86062,195.51903,195.51903,115.34159,0.0,167.62583,27.8932,0.0,4.11265,0.0,50.87119,13.74936
8x8,BG_L2_L4_11_L3_10_L2_00_DVAFS_0,325.91214,280.40082,268.6557,224.14599,167.70646,44.50971,56.43953,140.23386,27.4726,0.0,5.06207,0.0,40.24995,11.94442
8x8,BG_L2_L4_11_L3_10_L2_10_DVAFS_0,601.68795,385.37032,380.17153,333.28825,254.52342,46.88329,78.76483,219.32101,35.20241,0.0,1.74259,0.0,194.9157,24.85812
8x8,BG_L2_L4_11_L3_10_L2_11_DVAFS_0,507.01834,304.16849,299.62351,254.86046,222.47463,44.76305,32.38583,190.78089,31.69374,0.0,1.00862,0.0,181.55522,24.83099
8x8,BG_L2_L4_11_L3_11_L2_00_DVAFS_0,440.20122,295.01134,292.47693,279.85432,212.78975,12.62261,67.06457,179.48338,33.30637,0.0,1.6783,0.0,132.80949,13.2365
8x8,BG_L2_L4_11_L3_11_L2_10_DVAFS_0,845.92049,513.43184,511.16592,495.56427,381.73813,15.60165,113.82614,321.99191,59.74622,0.0,0.8705,0.0,303.38636,30.49771
8x8,BG_L2_L4_11_L3_11_L2_11_DVAFS_0,758.23422,350.2598,348.71507,334.68721,287.54047,14.02786,47.14674,244.78871,42.75176,0.0,0.25915,0.0,368.93757,40.32244
8x8,BG_L3_L4_00_L3_00_L2_10_DVAFS_0,354.04796,338.23512,207.44662,207.44662,79.63243,0.0,127.81419,51.97017,27.66226,0.0,60.53342,0.0,10.26491,75.80302
8x8,BG_L3_L4_00_L3_00_L2_11_DVAFS_0,231.07106,201.86816,148.87518,148.87518,93.49959,0.0,55.37558,69.05871,24.44089,0.0,17.65296,0.0,25.63358,38.90933
8x8,BG_L3_L4_00_L3_10_L2_10_DVAFS_0,364.33058,337.36537,261.03662,261.03662,88.84247,0.0,172.19414,60.78132,28.06115,0.0,23.06946,0.0,24.12396,56.10055
8x8,BG_L3_L4_00_L3_10_L2_11_DVAFS_0,255.73467,187.64943,163.50491,163.4118,93.10724,0.09311,70.30456,67.78371,25.32353,0.0,6.54811,0.0,61.68811,23.99353
8x8,BG_L3_L4_00_L3_11_L2_10_DVAFS_0,319.99236,291.56932,244.01382,244.01382,73.92748,-0.0,170.08634,48.53148,25.396,0.0,14.36587,0.0,26.04414,35.56852
8x8,BITBLADE,243.25045,171.77467,154.72094,154.72094,85.61049,0.0,69.11045,62.07528,23.53521,0.0,4.07637,0.0,65.25557,19.19756
8x8,BG_L3_L4_10_L3_00_L2_10_DVAFS_0,388.62294,356.28908,296.6694,238.60294,92.35185,58.06646,146.25109,62.58445,29.7674,0.0,20.74601,0.0,27.62076,43.58678
8x8,BG_L3_L4_10_L3_00_L2_11_DVAFS_0,228.73475,167.56542,157.19559,141.12184,91.59417,16.07375,49.52767,67.66809,23.92608,0.0,4.98551,0.0,55.10212,11.45153
8x8,BG_L3_L4_10_L3_10_L2_10_DVAFS_0,383.85422,276.71061,256.48196,210.93769,64.16084,45.54428,146.77684,43.58938,20.57146,0.0,6.5004,0.0,93.22549,27.64637
8x8,BG_L3_L4_10_L3_10_L2_11_DVAFS_0,381.6061,213.55237,208.00237,191.69691,108.01247,16.30546,83.68444,80.95248,27.05999,0.0,1.83167,0.0,150.77477,20.99729
8x8,BG_L3_L4_10_L3_11_L2_10_DVAFS_0,392.82445,283.27026,270.74737,229.1189,65.51607,41.62847,163.60283,44.23529,21.28078,0.0,4.23877,0.0,98.62127,19.21705
8x8,BG_L3_L4_10_L3_11_L2_11_DVAFS_0,409.10667,208.51571,203.77142,186.8401,111.2398,16.93133,75.6003,83.2442,27.9956,0.0,1.14397,0.0,179.59475,24.59653
8x8,BG_L3_L4_11_L3_00_L2_10_DVAFS_0,289.7966,250.90752,237.83256,192.02648,89.45298,45.80609,102.57349,61.20735,28.24564,0.0,6.266,0.0,34.20727,11.49077
8x8,BG_L3_L4_11_L3_00_L2_11_DVAFS_0,363.69431,213.80589,211.39748,195.72774,138.75752,15.66974,56.97022,108.09668,30.66085,0.0,1.3895,0.0,137.2569,13.65042
8x8,BG_L3_L4_11_L3_10_L2_10_DVAFS_0,474.98563,303.86902,297.85831,243.57929,85.43675,54.27901,158.14254,60.43643,25.00032,0.0,1.83401,0.0,154.08002,21.2133
8x8,BG_L3_L4_11_L3_10_L2_11_DVAFS_0,561.55469,266.96753,264.86222,247.13186,156.51141,17.73036,90.62045,118.22588,38.28552,0.0,0.50374,0.0,267.85475,28.33398
8x8,BG_L3_L4_11_L3_11_L2_10_DVAFS_0,530.1745,304.87083,300.51959,254.55536,89.95062,45.96423,164.60474,64.36706,25.58356,0.0,1.03527,0.0,202.15992,26.45971
8x8,BG_L3_L4_11_L3_11_L2_11_DVAFS_0,770.76115,285.47838,283.82304,269.05609,167.98195,14.76695,101.07415,129.23192,38.75002,0.0,0.3445,0.0,441.35088,45.24273
8x8,LOOM,205.46334,192.74317,141.37823,140.64532,140.64532,0.73291,0.0,81.2731,15.73683,0.15101,8.61394,43.63539,10.3034,45.16776
8x8,BG_BS_L4_00_L3_10_L2_11_DVAFS_0,199.27724,171.89502,155.35506,154.58516,139.01737,0.76989,15.56779,79.7274,15.65787,0.11869,3.55993,43.6321,23.96586,16.39639
8x8,BG_BS_L4_00_L3_11_L2_11_DVAFS_0,201.99682,164.64225,156.74352,156.07901,138.011,0.66451,18.06801,78.81957,15.3317,0.15272,1.61527,43.85973,33.11257,10.52547
8x8,BG_BS_L4_10_L3_00_L2_11_DVAFS_0,234.56309,208.24256,191.59502,144.93302,144.93302,46.66201,0.0,85.02778,15.91649,0.15071,3.5509,43.98875,22.90435,16.51283
8x8,BG_BS_L4_10_L3_10_L2_11_DVAFS_0,268.00989,186.93984,179.69514,156.34859,139.03348,23.34655,17.31511,79.31452,15.98728,0.1187,1.44306,43.73169,73.65634,13.21535
8x8,BG_BS_L4_10_L3_11_L2_11_DVAFS_0,263.62696,172.76706,170.16308,160.24018,140.10252,9.92291,20.13765,79.80955,15.41306,0.15272,0.56768,44.87992,82.56482,10.33138
8x8,BG_BS_L4_11_L3_00_L2_11_DVAFS_0,248.84299,212.96478,203.36433,140.06529,140.06529,63.29904,0.0,81.13254,14.9738,0.11817,2.06612,43.95896,31.61447,11.79807
8x8,BG_BS_L4_11_L3_10_L2_11_DVAFS_0,286.72972,196.05197,192.72087,158.98135,140.19156,33.73953,18.78979,80.37802,15.5456,0.11428,0.74131,44.26795,82.39035,10.87717
8x8,BG_BS_L4_11_L3_11_L2_11_DVAFS_0,310.3669,181.15963,180.07488,165.42175,144.4102,14.65313,21.01155,83.3904,15.22539,0.14964,0.22469,45.79442,117.54868,12.51865
8x4,BG_L2_L4_00_L3_00_L2_00_DVAFS_0,638.82195,615.25707,198.85587,198.85587,198.85587,0.0,0.0,165.45302,33.40285,0.0,201.73135,0.0,7.00373,231.23099
8x4,BG_L2_L4_00_L3_00_L2_10_DVAFS_0,546.574,530.87757,273.63266,273.63266,273.63266,0.0,-0.0,238.88806,34.7446,0.0,77.70451,0.0,10.14968,185.08714
8x4,BG_L2_L4_00_L3_00_L2_11_DVAFS_0,397.95529,381.92014,208.42876,208.42876,208.42876,-0.0,0.0,178.67448,29.75429,0.0,50.44145,0.0,12.79872,126.28635
8x4,BG_L2_L4_00_L3_10_L2_00_DVAFS_0,581.21157,565.34951,365.8704,365.8704,199.05246,0.0,166.81794,169.9021,29.15036,0.0,65.79637,0.0,10.31527,139.22953
8x4,BG_L2_L4_00_L3_10_L2_10_DVAFS_0,365.87806,336.52431,275.1306,275.1306,211.70363,0.0,63.42697,183.19265,28.51098,0.0,22.57061,0.0,24.18772,43.98912
