,top,mac,mult,mult_2x2,count,out_reg,in_reg,others,seq,comb
BG_L2_L4_00_L3_00_L2_00_DVAFS_1,174952,174251,76210,16380,0,21980,701,135891,22681,152271
BG_L2_L4_00_L3_00_L2_11_DVAFS_1,166858,166164,92443,16380,0,13564,694,136220,14258,152600
BG_L2_L4_00_L3_10_L2_00_DVAFS_1,136594,134868,105601,16380,0,9683,1726,108805,11409,125185
BG_L2_L4_00_L3_10_L2_11_DVAFS_1,114989,113262,101348,16380,0,3773,1727,93109,5500,109489
BG_L2_L4_00_L3_11_L2_00_DVAFS_1,114441,111518,103545,16392,0,2076,2923,93050,4999,109442
BG_L2_L4_00_L3_11_L2_11_DVAFS_1,109332,106572,103294,16380,0,1048,2760,89144,3808,105524
BG_L2_L4_10_L3_00_L2_00_DVAFS_1,146896,145169,116953,16380,0,6875,1727,121914,8602,138294
BG_L2_L4_10_L3_00_L2_11_DVAFS_1,139636,137909,126001,16380,0,3773,1727,117756,5500,134136
BG_L2_L4_10_L3_10_L2_00_DVAFS_1,130797,124939,116196,16380,0,4873,5858,103686,10731,120066
BG_L2_L4_10_L3_10_L2_11_DVAFS_1,122330,115311,111922,16534,0,1050,7019,97727,8069,114261
BG_L2_L4_10_L3_11_L2_00_DVAFS_1,138372,122068,119662,19093,0,606,16304,102369,16910,121462
BG_L2_L4_10_L3_11_L2_11_DVAFS_1,130779,117489,116651,17858,0,284,13290,99347,13574,117205
BG_L2_L4_11_L3_00_L2_00_DVAFS_1,136541,133086,124042,16597,0,2075,3455,114414,5530,131011
BG_L2_L4_11_L3_00_L2_11_DVAFS_1,135350,132544,129280,16380,0,1044,2806,115120,3850,131500
BG_L2_L4_11_L3_10_L2_00_DVAFS_1,124862,117948,115604,16380,0,3436,6914,98132,10350,114512
BG_L2_L4_11_L3_10_L2_11_DVAFS_1,135020,120875,120023,17871,0,283,14145,102721,14428,120592
BG_L2_L4_11_L3_11_L2_00_DVAFS_1,196366,160306,159654,25746,0,237,36060,134323,36297,160069
BG_L2_L4_11_L3_11_L2_11_DVAFS_1,179183,146717,146435,23036,0,79,32466,123602,32545,146638
