,top,mac,mult,mult_2x2,count,out_reg,in_reg,others,seq,comb
BG_L2_L4_00_L3_00_L2_00_DVAFS_0,462203,461509,180031,16380,0,87884,694,357245,88578,373625
BG_L2_L4_00_L3_00_L2_10_DVAFS_0,287970,286242,165981,16380,0,27411,1728,242451,29139,258831
BG_L2_L4_00_L3_00_L2_11_DVAFS_0,234224,231464,155189,16380,0,13537,2760,201547,16297,217927
BG_L2_L4_00_L3_10_L2_00_DVAFS_0,355355,353628,257654,16380,0,27395,1727,309853,29122,326233
BG_L2_L4_00_L3_10_L2_10_DVAFS_0,242733,236868,204046,16380,0,8500,5865,211988,14365,228368
BG_L2_L4_00_L3_10_L2_11_DVAFS_0,184005,177090,165213,16380,0,3773,6915,156937,10688,173317
BG_L2_L4_00_L3_11_L2_00_DVAFS_0,303012,300251,269145,16380,0,8093,2761,275778,10854,292158
BG_L2_L4_00_L3_11_L2_10_DVAFS_0,216796,209881,201118,16380,0,2355,6915,191146,9270,207526
BITFUSION,180674,169642,166375,16380,0,1029,11032,152233,12061,168613
BG_L2_L4_10_L3_00_L2_00_DVAFS_0,379435,377708,281719,16380,0,27395,1727,333933,29122,350313
BG_L2_L4_10_L3_00_L2_10_DVAFS_0,253647,247788,205170,16380,0,17450,5859,213958,23309,230338
BG_L2_L4_10_L3_00_L2_11_DVAFS_0,197537,190622,178746,16380,0,3773,6915,170469,10688,186849
BG_L2_L4_10_L3_10_L2_00_DVAFS_0,327231,321367,290230,16380,0,8076,5864,296911,13940,313291
BG_L2_L4_10_L3_10_L2_10_DVAFS_0,246546,224143,215372,16380,0,2355,22403,205408,24758,221788
BG_L2_L4_10_L3_10_L2_11_DVAFS_0,198752,175316,172048,16380,0,1029,23436,157907,24465,174287
BG_L2_L4_10_L3_11_L2_00_DVAFS_0,296944,289857,279296,16380,0,4444,7087,269033,11531,285413
BG_L2_L4_10_L3_11_L2_10_DVAFS_0,230406,206970,204530,16380,0,667,23436,189923,24103,206303
BG_L2_L4_10_L3_11_L2_11_DVAFS_0,197439,169836,168939,16380,0,278,27603,153178,27881,169558
BG_L2_L4_11_L3_00_L2_00_DVAFS_0,342073,339312,298637,16380,0,16667,2761,306265,19428,322645
BG_L2_L4_11_L3_00_L2_10_DVAFS_0,233148,226247,217482,16380,0,2355,6901,207512,9256,223892
BG_L2_L4_11_L3_00_L2_11_DVAFS_0,186794,175763,172495,16380,0,1029,11031,158354,12060,174734
BG_L2_L4_11_L3_10_L2_00_DVAFS_0,310102,303210,292508,16380,0,4621,6892,282209,11513,298589
BG_L2_L4_11_L3_10_L2_10_DVAFS_0,237618,214182,211850,16380,0,666,23436,197136,24102,213516
BG_L2_L4_11_L3_10_L2_11_DVAFS_0,197924,170321,169424,16380,0,278,27603,153663,27881,170043
BG_L2_L4_11_L3_11_L2_00_DVAFS_0,291920,280889,278773,16380,0,671,11031,263838,11702,280218
BG_L2_L4_11_L3_11_L2_10_DVAFS_0,232392,204789,204202,16380,0,191,27603,188218,27794,204598
BG_L2_L4_11_L3_11_L2_11_DVAFS_0,212850,168739,168542,16380,0,73,44111,152286,44184,168666
BG_L3_L4_00_L3_00_L2_10_DVAFS_0,201425,199698,103694,16380,0,27395,1727,155923,29122,172303
BG_L3_L4_00_L3_00_L2_11_DVAFS_0,113187,110427,79419,16380,0,8116,2760,85931,10876,102311
BG_L3_L4_00_L3_10_L2_10_DVAFS_0,161344,155480,122632,16380,0,8535,5864,130565,14399,146945
BG_L3_L4_00_L3_10_L2_11_DVAFS_0,106327,99412,90676,16380,0,2358,6915,80674,9273,97054
BG_L3_L4_00_L3_11_L2_10_DVAFS_0,150202,143287,131411,16380,0,3773,6915,123134,10688,139514
BITBLADE,110421,99389,96123,16380,0,1029,11032,81980,12061,98360
