,,top,mac,L4,L3,L2,L4_tree,L3_tree,L2_tree,mult_2x2,count,out_reg,pipe_reg,in_reg,accum
8x8,BG_L2_L4_00_L3_00_L2_00_DVAFS_1,65.45188,63.60103,22.34111,22.34111,22.34111,0.0,0.0,18.02201,4.31911,0.0,13.77505,0.0,0.99594,28.33978
8x8,BG_L2_L4_00_L3_00_L2_11_DVAFS_1,72.16533,70.62191,28.85841,28.85841,28.85841,-0.0,0.0,24.73354,4.12487,0.0,11.0123,0.0,0.99594,31.29868
8x8,BG_L2_L4_00_L3_10_L2_00_DVAFS_1,59.20769,57.29002,33.0492,33.00735,18.88081,0.04186,14.12654,15.22692,3.65389,0.0,9.54322,0.0,1.53272,15.08255
8x8,BG_L2_L4_00_L3_10_L2_11_DVAFS_1,48.62715,46.72726,37.36313,37.36313,31.52602,0.0,5.83711,26.79641,4.72961,0.0,2.8929,0.0,1.67367,6.69746
8x8,BG_L2_L4_00_L3_11_L2_00_DVAFS_1,48.60757,46.16453,38.68841,38.68841,20.39408,-0.0,18.29433,16.27981,4.11426,0.0,3.82598,0.0,2.22665,3.86654
8x8,BG_L2_L4_00_L3_11_L2_11_DVAFS_1,35.98377,33.45884,30.87232,30.87232,25.0124,-0.0,5.85992,21.22826,3.78414,0.0,0.8015,0.0,2.35119,1.95876
8x8,BG_L2_L4_10_L3_00_L2_00_DVAFS_1,60.28312,58.27161,43.64387,25.13035,25.13035,18.51352,-0.0,20.0033,5.12705,0.0,4.0999,0.0,1.67397,10.86538
8x8,BG_L2_L4_10_L3_00_L2_11_DVAFS_1,56.02794,54.12774,44.99077,31.68588,31.68588,13.30489,-0.0,26.88234,4.80353,0.0,2.90166,0.0,1.67397,6.46154
8x8,BG_L2_L4_10_L3_10_L2_00_DVAFS_1,60.41414,55.90032,46.7716,38.78742,21.73965,7.98418,17.04777,17.93423,3.80542,0.0,3.28012,0.0,4.14516,6.21726
8x8,BG_L2_L4_10_L3_10_L2_11_DVAFS_1,53.71005,49.00469,45.831,39.55621,33.21386,6.27479,6.34235,28.36632,4.84755,0.0,0.85161,0.0,4.38174,2.6457
8x8,BG_L2_L4_10_L3_11_L2_00_DVAFS_1,50.49932,45.42976,43.3692,40.75949,21.97587,2.60971,18.78362,17.15569,4.82018,0.0,1.03146,0.0,4.70603,1.39263
8x8,BG_L2_L4_10_L3_11_L2_11_DVAFS_1,39.56556,34.1605,33.3161,31.67753,25.57229,1.63857,6.10524,21.65605,3.91624,0.0,0.231,0.0,5.05929,0.95917
8x8,BG_L2_L4_11_L3_00_L2_00_DVAFS_1,75.76918,73.3453,63.76257,21.41489,21.41489,42.34768,-0.0,17.33408,4.08081,0.0,3.68223,0.0,2.21026,6.11413
8x8,BG_L2_L4_11_L3_00_L2_11_DVAFS_1,43.55563,41.0303,38.33802,25.0546,25.0546,13.28342,-0.0,21.2601,3.7945,0.0,0.81104,0.0,2.35158,2.055
8x8,BG_L2_L4_11_L3_10_L2_00_DVAFS_1,42.0873,36.7683,34.34445,28.16259,15.94127,6.18185,12.22132,13.05615,2.88512,0.0,1.05467,0.0,4.95462,1.73357
8x8,BG_L2_L4_11_L3_10_L2_11_DVAFS_1,41.31689,35.91171,35.00234,30.77365,25.6184,4.22869,5.15525,21.70154,3.91687,0.0,0.23579,0.0,5.0594,1.01936
8x8,BG_L2_L4_11_L3_11_L2_00_DVAFS_1,46.64331,38.33133,37.99878,36.10923,19.43897,1.88956,16.67026,15.49521,3.94376,0.0,0.10326,0.0,7.77031,0.77096
8x8,BG_L2_L4_11_L3_11_L2_11_DVAFS_1,41.16039,32.85198,32.63461,31.05697,25.1563,1.57764,5.90067,21.45486,3.70144,0.0,0.06655,0.0,7.77031,0.68893
4x4,BG_L2_L4_00_L3_00_L2_00_DVAFS_1,46.42401,44.57317,11.28468,11.28468,11.28468,0.0,0.0,9.05843,2.22624,0.0,12.98387,0.0,0.99594,21.15953
